iteration,mean_reward,mean_episode_length
315,733.51,975.31
316,726.58,960.13
317,705.99,935.87
318,735.53,967.65
319,760.40,998.05
320,717.42,950.78
321,744.86,980.19
322,750.04,982.68
323,740.21,975.36
324,739.35,979.99
325,751.16,985.68
326,747.68,996.54
327,750.68,990.85
328,754.42,990.39
329,727.70,961.06
330,740.93,976.50
331,731.41,967.82
332,751.07,991.68
333,753.90,993.25
334,757.11,1000.00
335,747.58,981.99
336,745.63,981.11
337,743.77,976.14
338,744.19,975.30
339,751.15,982.22
340,760.76,994.04
341,749.27,978.23
342,752.46,974.49
343,741.97,972.68
344,754.71,991.33
345,752.63,978.49
346,738.18,974.47
347,758.91,990.33
348,739.61,968.34
349,721.86,951.51
350,725.83,948.53
351,763.09,987.09
352,756.70,985.25
353,759.04,990.67
354,767.99,1000.00
355,764.27,992.11
356,752.24,979.36
357,748.75,981.92
358,751.11,972.52
359,760.36,986.16
360,745.34,972.32
361,752.28,980.25
362,761.36,986.25
363,756.89,979.45
364,756.79,980.49
365,749.97,971.44
366,764.49,990.25
367,766.25,992.41
368,759.06,987.05
369,758.13,985.49
370,768.96,992.53
371,763.83,982.57
372,768.80,986.24
373,759.22,980.24
374,768.72,990.71
375,743.09,966.49
376,761.70,990.44
377,767.69,992.13
378,770.16,993.27
379,766.83,988.17
380,755.73,975.15
381,759.84,972.17
382,759.53,981.48
383,768.09,986.56
384,761.73,979.06
385,778.32,1000.00
386,750.96,972.21
387,767.52,992.23
388,765.49,984.33
389,759.18,982.28
390,754.07,976.97
391,763.26,983.98
392,767.94,986.39
393,760.05,976.97
394,778.60,1000.00
395,768.63,986.19
396,759.14,970.22
397,781.39,1000.00
398,761.54,974.80
399,752.27,962.79
400,762.18,977.13
401,748.73,961.91
402,751.67,967.28
403,777.86,993.73
404,771.35,995.46
405,774.43,990.39
406,763.53,977.00
407,768.53,984.58
408,770.83,980.98
409,773.12,986.28
410,748.82,959.65
411,772.23,985.26
412,772.43,980.54
413,767.09,982.71
414,772.53,979.41
415,779.52,996.17
416,781.03,987.34
417,768.46,981.14
418,758.05,973.99
419,784.78,996.14
420,778.74,988.11
421,794.15,1000.00
422,790.58,1000.00
423,786.05,1000.00
424,789.51,1000.00
425,768.59,989.46
426,785.48,997.16
427,764.94,981.16
428,776.23,985.70
429,772.53,979.06
430,768.98,980.07
431,784.07,990.10
432,786.68,993.52
433,793.28,1000.00
434,786.53,996.17
435,783.75,986.80
436,784.72,992.09
437,780.00,982.46
438,765.80,971.98
439,780.30,986.05
440,785.11,992.14
441,778.96,978.84
442,784.87,990.71
443,791.36,992.16
444,781.15,982.28
445,780.42,980.11
446,776.96,976.27
447,773.51,970.46
448,776.12,974.53
449,777.57,984.51
450,778.58,974.67
451,783.09,982.12
452,787.64,986.86
453,786.07,993.29
454,794.33,995.67
455,790.23,991.78
456,788.96,988.64
457,801.77,1000.00
458,779.88,982.66
459,777.73,981.80
460,792.12,986.17
461,784.70,982.41
462,779.49,978.31
463,788.48,992.09
464,772.38,972.89
465,795.82,998.81
466,779.14,978.86
467,798.90,998.07
468,800.20,1000.00
469,792.68,992.03
470,790.47,992.12
471,780.24,974.64
472,798.53,1000.00
473,776.13,973.74
